Timestamp, Device ID, Start Time, Received Time, Delay (ms)
2022-01-13 18:05:24,NF1,1642071924.5633988,1642071924.563557,0.16
2022-01-13 18:05:26,NF1,1642071926.892903,1642071926.892944,0.04
2022-01-13 18:05:29,NF1,1642071929.0688853,1642071929.068941,0.06
2022-01-13 18:05:31,NF1,1642071931.25418,1642071931.2542183,0.04
2022-01-13 18:05:33,NF1,1642071933.8822799,1642071933.8823233,0.04
2022-01-13 18:05:36,NF1,1642071936.0603757,1642071936.0604188,0.04
2022-01-13 18:05:38,NF1,1642071938.2177012,1642071938.2177649,0.06
2022-01-13 18:05:40,NF1,1642071940.3888016,1642071940.388874,0.07
2022-01-13 18:05:42,NF1,1642071942.543989,1642071942.5440478,0.06
2022-01-13 18:05:44,NF1,1642071944.8778522,1642071944.8779464,0.09
2022-01-13 18:05:47,NF1,1642071947.0401177,1642071947.040145,0.03
2022-01-13 18:05:49,NF1,1642071949.2051802,1642071949.2052531,0.07
2022-01-13 18:05:51,NF1,1642071951.8648255,1642071951.8648884,0.06
2022-01-13 18:05:54,NF1,1642071954.0346408,1642071954.034735,0.09
2022-01-13 18:27:58,NF1,1642073278.948735,1642073278.948828,0.09
2022-01-13 18:28:05,NF1,1642073285.2667918,1642073285.2669742,0.18
2022-01-13 18:28:05,NF1,1642073285.2744963,1642073285.2745507,0.05
2022-01-13 18:28:05,NF1,1642073285.2878568,1642073285.2879171,0.06
2022-01-13 18:28:22,NF1,1642073302.587174,1642073302.5872605,0.09
2022-01-13 18:28:22,NF1,1642073302.6052244,1642073302.6053002,0.08
2022-01-13 18:28:22,NF1,1642073302.6115513,1642073302.6116004,0.05
2022-01-13 18:28:22,NF1,1642073302.6344426,1642073302.6345232,0.08
2022-01-13 18:28:22,NF1,1642073302.6412249,1642073302.6412945,0.07
2022-01-13 18:28:22,NF1,1642073302.646134,1642073302.6462042,0.07
2022-01-13 18:28:22,NF1,1642073302.6486328,1642073302.6486795,0.05
2022-01-13 18:28:22,NF1,1642073302.663262,1642073302.663316,0.05
